no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,type_of_meal_plan_Meal Plan 1,type_of_meal_plan_Meal Plan 2,type_of_meal_plan_Meal Plan 3,type_of_meal_plan_Not Selected,room_type_reserved_Room_Type 1,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Aviation,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline
1,0,0.6596848697648924,2,0,37,2017,11,6,0,0,0,25.25891311885217,-0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,2,0,56,2017,9,17,0,0,0,49.997658094163555,-0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0.6596848697648924,1,0,3,2017,9,19,0,0,0,97.31416988750483,0.5866506450501001,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1.0161370573680801,2,0,107,2018,11,13,0,0,0,52.88338371628181,0.5866506450501001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,-0.0,3,0,56,2018,12,7,0,0,0,50.229513563284414,0.5866506450501001,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,1,0,2,2018,1,9,0,0,0,43.33193249657261,0.5866506450501001,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,2,0,72,2018,10,7,0,0,0,51.83712222689417,-0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,-0.0,1,1,23,2018,4,27,0,0,0,66.95541330331977,0.5866506450501001,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1.0161370573680801,1,0,34,2018,6,19,0,0,0,49.47004953458906,-0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,1,0,289,2017,10,17,0,0,0,41.97901147940942,-0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,1.0161370573680801,3,0,247,2018,11,19,0,0,0,40.20936141289471,-0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1.0161370573680801,1,0,186,2018,7,30,0,0,0,70.35610107826267,0.5866506450501001,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,4,0,64,2018,11,1,0,0,0,56.05371446180598,0.8472069331797196,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,2,0,35,2018,6,21,0,0,0,60.371554140467104,0.5866506450501001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,1.0161370573680801,1,0,96,2018,4,10,0,0,0,70.35610107826267,0.5866506450501001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.6596848697648924,1,0,41,2018,6,27,0,0,0,58.373452431276306,0.5866506450501001,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,4,0,55,2017,11,18,0,0,0,38.15135031117312,0.5866506450501001,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,-0.0,3,0,146,2017,12,29,0,0,0,46.284327180521714,-0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,-0.0,2,0,32,2017,11,20,0,0,0,45.21443207222911,-0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,-0.0,1,0,55,2018,4,6,0,0,0,61.391950348420856,-0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,-0.0,4,0,57,2018,11,1,0,0,0,48.517993721093596,0.5866506450501001,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.6596848697648924,3,0,7,2018,12,29,0,0,0,72.34369505995186,0.8472069331797196,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1.0161370573680801,5,0,124,2018,5,30,0,0,0,53.11831799318894,-0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1.0161370573680801,2,0,169,2018,4,22,0,0,0,62.40953401991722,-0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.6596848697648924,2,0,6,2018,5,16,0,0,0,77.70009390380054,0.5866506450501001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,4,0,51,2017,11,11,0,0,0,38.15135031117312,0.5866506450501001,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0.6596848697648924,0,0,13,2018,6,13,0,0,0,53.66583020004446,0.8472069331797196,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.6596848697648924,3,0,100,2018,5,19,0,0,0,77.37175935348999,0.5866506450501001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,1,0,139,2018,7,28,0,0,0,56.518918272576386,0.5866506450501001,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.6596848697648924,2,0,117,2018,12,26,0,0,0,56.05371446180598,0.8472069331797196,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.6596848697648924,4,0,39,2018,4,20,0,0,0,69.75800496205423,-0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,3,0,86,2018,4,6,0,0,0,58.9894465421798,0.5866506450501001,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,-0.0,1,1,2,2018,9,2,0,0,0,134.22512358823863,0.5866506450501001,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,0,-0.0,3,0,19,2018,5,3,0,0,0,69.51852742090186,0.8472069331797196,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,-0.0,2,0,192,2018,6,24,0,0,0,56.77709009074347,-0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,-0.0,1,0,2,2017,9,10,0,0,0,0.0,0.5866506450501001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,0,1.0161370573680801,1,0,86,2018,12,18,0,0,0,46.284327180521714,-0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,-0.0,3,0,30,2018,10,5,0,0,0,87.79838798356712,0.8472069331797196,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,2,0,179,2018,6,3,0,0,0,58.16788140912416,0.5866506450501001,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,2,0,26,2018,4,15,0,0,0,80.30392869616061,-0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,1,0,55,2018,4,6,0,0,0,48.94150782175834,-0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0.6596848697648924,2,0,74,2018,4,25,0,0,0,51.83712222689417,0.5866506450501001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,3,0,143,2018,8,25,0,0,0,59.34828277467651,-0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0.6596848697648924,0,0,34,2018,11,14,0,0,0,53.14441115675325,0.8472069331797196,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.6596848697648924,1,1,30,2018,8,29,0,0,0,70.87874064463509,0.5866506450501001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,2,0,177,2018,6,3,0,0,0,59.34828277467651,-0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1.0161370573680801,3,0,34,2017,10,25,0,0,0,46.284327180521714,-0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0.6596848697648924,4,0,18,2018,3,9,0,0,0,67.85834084991448,0.5866506450501001,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.6596848697648924,1,0,267,2018,12,31,0,0,0,70.20665675819559,-0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.6596848697648924,2,0,64,2018,6,27,0,0,0,65.395586247203,0.5866506450501001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,1.0161370573680801,5,0,155,2018,6,28,0,0,0,70.23156782417671,0.8472069331797196,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,5,0,46,2018,3,29,0,0,0,46.284327180521714,0.5866506450501001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,2,-0.0,2,0,83,2018,4,1,0,0,0,88.66164224444252,-0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,5,0,128,2018,10,11,0,0,0,75.5543409557766,-0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1.0161370573680801,0,0,20,2018,12,25,0,0,0,53.14441115675325,0.8472069331797196,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.6596848697648924,4,0,40,2018,3,14,0,0,0,58.743177754501694,-0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.6596848697648924,2,1,46,2018,3,4,0,0,0,58.47619283498817,0.5866506450501001,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.6596848697648924,0,0,1,2018,10,17,0,0,0,84.18597665054087,0.8472069331797196,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1.0161370573680801,3,0,196,2018,9,4,0,0,0,57.318618334719915,0.5866506450501001,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,-0.0,2,0,188,2018,6,15,0,0,0,74.42091729090201,-0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,1,0,17,2018,12,10,1,0,5,56.77709009074347,-0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,3,0,146,2018,8,9,0,0,0,66.23160959889417,-0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0.6596848697648924,3,0,110,2018,5,5,0,0,0,60.156907791250305,0.5866506450501001,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.6596848697648924,2,1,68,2018,3,18,0,0,0,62.05369584876766,-0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1.0161370573680801,1,0,73,2018,4,9,0,0,0,67.35696322457434,0.5866506450501001,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,1,0,92,2018,5,19,0,0,0,83.89587579021673,0.5866506450501001,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1.0161370573680801,5,0,171,2018,8,30,0,0,0,65.23926472264499,-0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,-0.0,2,1,134,2018,8,4,0,0,0,74.66755734798747,0.8472069331797196,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,2,0,320,2018,8,18,0,0,0,66.95541330331977,0.5866506450501001,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,4,0,118,2018,4,13,0,0,0,54.680194312192505,0.5866506450501001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,3,0,30,2018,11,17,0,0,0,46.86036949905881,0.5866506450501001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.6596848697648924,3,0,30,2018,12,22,0,0,0,87.51032154387383,-0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0,0.6596848697648924,0,0,189,2018,10,23,0,0,0,51.83712222689417,0.8472069331797196,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.6596848697648924,2,0,55,2018,5,13,0,0,0,88.66164224444252,0.8472069331797196,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,-0.0,4,0,55,2018,12,13,0,0,0,46.177522952159144,0.8472069331797196,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,1,0,16,2017,10,31,0,0,0,56.77709009074347,0.5866506450501001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,3,0,24,2017,10,8,0,0,0,62.91729003396754,0.5866506450501001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,3,0,8,2018,2,16,0,0,0,40.34593770176657,-0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0.6596848697648924,4,1,10,2017,11,2,0,0,0,50.49803361051529,-0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.6596848697648924,3,0,0,2017,9,21,0,0,0,86.59706118723763,0.5866506450501001,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,1,0,12,2018,6,30,0,0,0,60.20802559623949,0.5866506450501001,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1.0161370573680801,1,0,32,2017,9,5,0,0,0,56.518918272576386,1.0027748636230733,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,2,0,182,2018,9,30,0,0,0,68.40914459865871,0.8472069331797196,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.6596848697648924,0,0,1,2018,6,27,0,0,0,72.93819057055964,0.5866506450501001,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,3,0,122,2018,6,16,0,0,0,67.50744158506254,0.8472069331797196,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1.0161370573680801,3,0,40,2018,6,30,0,0,0,68.40914459865871,0.5866506450501001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1.0161370573680801,2,0,116,2018,6,26,0,0,0,100.48542519842812,0.5866506450501001,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,1.0161370573680801,2,1,123,2018,8,13,0,0,0,86.9337120191855,0.5866506450501001,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,1.0161370573680801,5,0,40,2018,4,22,0,0,0,77.25409042652355,-0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1.0161370573680801,5,0,105,2018,11,12,0,0,0,60.79536393097148,1.0027748636230733,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,1,0,443,2018,4,29,0,0,0,40.891485255716184,-0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1.0161370573680801,3,0,2,2017,11,14,0,0,0,60.88210766479268,0.5866506450501001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,3,0,317,2018,9,1,0,0,0,62.51114003286816,0.5866506450501001,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,2,0,286,2018,9,16,0,0,0,37.323060126055736,-0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0.6596848697648924,3,0,68,2018,3,10,0,0,0,45.723147853187875,-0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0,3,0,148,2018,5,5,0,0,0,62.05369584876766,-0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
